Time,Amplitude
0,0
2.26757e-005,0.0553831
4.53515e-005,0.110697
6.80272e-005,0.165874
9.07029e-005,0.220845
0.000113379,0.275541
0.000136054,0.329895
0.00015873,0.383838
0.000181406,0.437305
0.000204082,0.490229
0.000226757,0.542544
0.000249433,0.594185
0.000272109,0.645089
0.000294785,0.695192
0.00031746,0.744432
0.000340136,0.792749
0.000362812,0.840082
0.000385488,0.886374
0.000408163,0.931567
0.000430839,0.975606
0.000453515,1.01844
0.00047619,1.06001
0.000498866,1.10026
0.000521542,1.13916
0.000544218,1.17665
0.000566893,1.21268
0.000589569,1.24722
0.000612245,1.28022
0.000634921,1.31163
0.000657596,1.34143
0.000680272,1.36958
0.000702948,1.39604
0.000725624,1.42078
0.000748299,1.44378
0.000770975,1.465
0.000793651,1.48442
0.000816327,1.50202
0.000839002,1.51778
0.000861678,1.53168
0.000884354,1.54371
0.000907029,1.55384
0.000929705,1.56209
0.000952381,1.56842
0.000975057,1.57285
0.000997732,1.57536
0.00102041,1.57596
0.00104308,1.57464
0.00106576,1.57142
0.00108844,1.56629
0.00111111,1.55927
0.00113379,1.55036
0.00115646,1.53959
0.00117914,1.52697
0.00120181,1.51251
0.00122449,1.49624
0.00124717,1.47819
0.00126984,1.45836
0.00129252,1.4368
0.00131519,1.41354
0.00133787,1.3886
0.00136054,1.36201
0.00138322,1.33382
0.0014059,1.30407
0.00142857,1.27279
0.00145125,1.24002
0.00147392,1.20581
0.0014966,1.1702
0.00151927,1.13324
0.00154195,1.09498
0.00156463,1.05547
0.0015873,1.01477
0.00160998,0.972912
0.00163265,0.929966
0.00165533,0.885985
0.001678,0.841026
0.00170068,0.795146
0.00172336,0.748405
0.00174603,0.700864
0.00176871,0.652582
0.00179138,0.603623
0.00181406,0.554048
0.00183673,0.503921
0.00185941,0.453306
0.00188209,0.402268
0.00190476,0.35087
0.00192744,0.299178
0.00195011,0.247257
0.00197279,0.195173
0.00199546,0.142991
0.00201814,0.0907762
0.00204082,0.0385941
0.00206349,-0.0134904
0.00208617,-0.0654123
0.00210884,-0.117107
0.00213152,-0.168512
0.0021542,-0.219561
0.00217687,-0.270194
0.00219955,-0.320348
0.00222222,-0.369962
0.0022449,-0.418974
0.00226757,-0.467327
0.00229025,-0.51496
0.00231293,-0.561817
0.0023356,-0.607842
0.00235828,-0.65298
0.00238095,-0.697177
0.00240363,-0.74038
0.0024263,-0.782539
0.00244898,-0.823604
0.00247166,-0.863528
0.00249433,-0.902264
0.00251701,-0.939768
0.00253968,-0.975997
0.00256236,-1.01091
0.00258503,-1.04447
0.00260771,-1.07663
0.00263039,-1.10737
0.00265306,-1.13664
0.00267574,-1.16443
0.00269841,-1.19069
0.00272109,-1.21539
0.00274376,-1.23853
0.00276644,-1.26007
0.00278912,-1.27998
0.00281179,-1.29826
0.00283447,-1.31489
0.00285714,-1.32984
0.00287982,-1.34311
0.00290249,-1.3547
0.00292517,-1.36458
0.00294785,-1.37275
0.00297052,-1.37922
0.0029932,-1.38398
0.00301587,-1.38703
0.00303855,-1.38838
0.00306122,-1.38802
0.0030839,-1.38597
0.00310658,-1.38224
0.00312925,-1.37684
0.00315193,-1.36978
0.0031746,-1.36109
0.00319728,-1.35077
0.00321995,-1.33885
0.00324263,-1.32535
0.00326531,-1.31029
0.00328798,-1.2937
0.00331066,-1.27562
0.00333333,-1.25606
0.00335601,-1.23506
0.00337868,-1.21265
0.00340136,-1.18888
0.00342404,-1.16377
0.00344671,-1.13736
0.00346939,-1.10969
0.00349206,-1.08081
0.00351474,-1.05076
0.00353741,-1.01957
0.00356009,-0.987303
0.00358277,-0.953997
0.00360544,-0.9197
0.00362812,-0.884463
0.00365079,-0.848333
0.00367347,-0.811361
0.00369615,-0.773599
0.00371882,-0.735099
0.0037415,-0.695914
0.00376417,-0.656097
0.00378685,-0.615703
0.00380952,-0.574785
0.0038322,-0.533399
0.00385488,-0.4916
0.00387755,-0.449444
0.00390023,-0.406985
0.0039229,-0.364281
0.00394558,-0.321387
0.00396825,-0.278358
0.00399093,-0.235251
0.00401361,-0.19212
0.00403628,-0.149021
0.00405896,-0.106009
0.00408163,-0.0631381
0.00410431,-0.0204623
0.00412698,0.0219651
0.00414966,0.0640914
0.00417234,0.105865
0.00419501,0.147233
0.00421769,0.188147
0.00424036,0.228557
0.00426304,0.268413
0.00428571,0.307669
0.00430839,0.346278
0.00433107,0.384195
0.00435374,0.421375
0.00437642,0.457776
0.00439909,0.493356
0.00442177,0.528074
0.00444444,0.561893
0.00446712,0.594775
0.0044898,0.626683
0.00451247,0.657584
0.00453515,0.687444
0.00455782,0.716232
0.0045805,0.743919
0.00460317,0.770477
0.00462585,0.79588
0.00464853,0.820103
0.0046712,0.843124
0.00469388,0.864921
0.00471655,0.885475
0.00473923,0.904769
0.0047619,0.922788
0.00478458,0.939517
0.00480726,0.954945
0.00482993,0.969062
0.00485261,0.98186
0.00487528,0.993331
0.00489796,1.00347
0.00492063,1.01228
0.00494331,1.01976
0.00496599,1.0259
0.00498866,1.03071
0.00501134,1.03419
0.00503401,1.03636
0.00505669,1.03722
0.00507937,1.03677
0.00510204,1.03503
0.00512472,1.03202
0.00514739,1.02775
0.00517007,1.02223
0.00519274,1.01548
0.00521542,1.00753
0.0052381,0.998386
0.00526077,0.988081
0.00528345,0.976636
0.00530612,0.964076
0.0053288,0.950429
0.00535147,0.935721
0.00537415,0.919983
0.00539683,0.903244
0.0054195,0.885536
0.00544218,0.866893
0.00546485,0.847347
0.00548753,0.826933
0.0055102,0.805687
0.00553288,0.783645
0.00555556,0.760845
0.00557823,0.737324
0.00560091,0.713122
0.00562358,0.688277
0.00564626,0.662829
0.00566893,0.636819
0.00569161,0.610287
0.00571429,0.583274
0.00573696,0.555823
0.00575964,0.527974
0.00578231,0.49977
0.00580499,0.471252
0.00582766,0.442464
0.00585034,0.413446
0.00587302,0.38424
0.00589569,0.35489
0.00591837,0.325436
0.00594104,0.295919
0.00596372,0.266382
0.00598639,0.236864
0.00600907,0.207407
0.00603175,0.178049
0.00605442,0.148831
0.0060771,0.119791
0.00609977,0.0909671
0.00612245,0.0623971
0.00614512,0.0341174
0.0061678,0.00616398
0.00619048,-0.021428
0.00621315,-0.0486246
0.00623583,-0.0753923
0.0062585,-0.101699
0.00628118,-0.127513
0.00630385,-0.152805
0.00632653,-0.177546
0.00634921,-0.201706
0.00637188,-0.225261
0.00639456,-0.248183
0.00641723,-0.270449
0.00643991,-0.292035
0.00646259,-0.312919
0.00648526,-0.333081
0.00650794,-0.352502
0.00653061,-0.371163
0.00655329,-0.389048
0.00657596,-0.406142
0.00659864,-0.42243
0.00662132,-0.437901
0.00664399,-0.452542
0.00666667,-0.466346
0.00668934,-0.479302
0.00671202,-0.491404
0.00673469,-0.502648
0.00675737,-0.513027
0.00678005,-0.522541
0.00680272,-0.531187
0.0068254,-0.538966
0.00684807,-0.545879
0.00687075,-0.551928
0.00689342,-0.557119
0.0069161,-0.561455
0.00693878,-0.564945
0.00696145,-0.567595
0.00698413,-0.569415
0.0070068,-0.570415
0.00702948,-0.570608
0.00705215,-0.570005
0.00707483,-0.568621
0.00709751,-0.566471
0.00712018,-0.56357
0.00714286,-0.559936
0.00716553,-0.555587
0.00718821,-0.550542
0.00721088,-0.544821
0.00723356,-0.538444
0.00725624,-0.531434
0.00727891,-0.523812
0.00730159,-0.515602
0.00732426,-0.506828
0.00734694,-0.497513
0.00736961,-0.487684
0.00739229,-0.477366
0.00741497,-0.466585
0.00743764,-0.455367
0.00746032,-0.44374
0.00748299,-0.431731
0.00750567,-0.419368
0.00752834,-0.406678
0.00755102,-0.39369
0.0075737,-0.380431
0.00759637,-0.366931
0.00761905,-0.353218
0.00764172,-0.339321
0.0076644,-0.325266
0.00768707,-0.311084
0.00770975,-0.296802
0.00773243,-0.282447
0.0077551,-0.268049
0.00777778,-0.253633
0.00780045,-0.239228
0.00782313,-0.22486
0.0078458,-0.210555
0.00786848,-0.19634
0.00789116,-0.182238
0.00791383,-0.168276
0.00793651,-0.154477
0.00795918,-0.140865
0.00798186,-0.127463
0.00800454,-0.114292
0.00802721,-0.101375
0.00804989,-0.0887319
0.00807256,-0.0763824
0.00809524,-0.0643456
0.00811791,-0.0526397
0.00814059,-0.0412819
0.00816327,-0.0302885
0.00818594,-0.019675
0.00820862,-0.00945573
0.00823129,0.000355959
0.00825397,0.00974755
0.00827664,0.0187077
0.00829932,0.027226
0.008322,0.0352931
0.00834467,0.0429007
0.00836735,0.0500417
0.00839002,0.0567099
0.0084127,0.0629003
0.00843537,0.0686088
0.00845805,0.0738327
0.00848073,0.07857
0.0085034,0.0828201
0.00852608,0.0865832
0.00854875,0.0898608
0.00857143,0.0926554
0.0085941,0.0949704
0.00861678,0.0968104
0.00863946,0.0981809
0.00866213,0.0990885
0.00868481,0.0995408
0.00870748,0.0995462
0.00873016,0.0991142
0.00875283,0.0982553
0.00877551,0.0969806
0.00879819,0.0953022
0.00882086,0.0932334
0.00884354,0.0907878
0.00886621,0.0879799
0.00888889,0.0848253
0.00891156,0.0813398
0.00893424,0.0775403
0.00895692,0.0734441
0.00897959,0.0690693
0.00900227,0.0644345
0.00902494,0.0595586
0.00904762,0.0544614
0.00907029,0.0491629
0.00909297,0.0436836
0.00911565,0.0380443
0.00913832,0.0322662
0.009161,0.0263707
0.00918367,0.0203795
0.00920635,0.0143145
0.00922902,0.00819783
0.0092517,0.00205152
0.00927438,-0.00410221
0.00929705,-0.0102411
0.00931973,-0.016343
0.0093424,-0.0223858
0.00936508,-0.0283475
0.00938776,-0.0342063
0.00941043,-0.0399405
0.00943311,-0.0455288
0.00945578,-0.0509502
0.00947846,-0.0561838
0.00950113,-0.0612095
0.00952381,-0.0660071
0.00954649,-0.0705574
0.00956916,-0.0748414
0.00959184,-0.0788406
0.00961451,-0.0825374
0.00963719,-0.0859144
0.00965986,-0.0889552
0.00968254,-0.091644
0.00970522,-0.0939656
