Time,Amplitude
0,1
2.26757e-005,1
4.53515e-005,1
6.80272e-005,1
9.07029e-005,1
0.000113379,1
0.000136054,1
0.00015873,1
0.000181406,1
0.000204082,1
0.000226757,1
0.000249433,1
0.000272109,1
0.000294785,1
0.00031746,1
0.000340136,1
0.000362812,1
0.000385488,1
0.000408163,1
0.000430839,1
0.000453515,1
0.00047619,1
0.000498866,1
0.000521542,1
0.000544218,1
0.000566893,1
0.000589569,1
0.000612245,1
0.000634921,1
0.000657596,1
0.000680272,1
0.000702948,1
0.000725624,1
0.000748299,1
0.000770975,1
0.000793651,1
0.000816327,1
0.000839002,1
0.000861678,1
0.000884354,1
0.000907029,1
0.000929705,1
0.000952381,1
0.000975057,1
0.000997732,1
0.00102041,1
0.00104308,1
0.00106576,1
0.00108844,1
0.00111111,1
0.00113379,1
0.00115646,1
0.00117914,1
0.00120181,1
0.00122449,1
0.00124717,1
0.00126984,1
0.00129252,1
0.00131519,1
0.00133787,1
0.00136054,1
0.00138322,1
0.0014059,1
0.00142857,1
0.00145125,1
0.00147392,1
0.0014966,1
0.00151927,1
0.00154195,1
0.00156463,1
0.0015873,1
0.00160998,1
0.00163265,1
0.00165533,1
0.001678,1
0.00170068,1
0.00172336,1
0.00174603,1
0.00176871,1
0.00179138,1
0.00181406,1
0.00183673,1
0.00185941,1
0.00188209,1
0.00190476,1
0.00192744,1
0.00195011,1
0.00197279,1
0.00199546,1
0.00201814,1
0.00204082,1
0.00206349,1
0.00208617,1
0.00210884,1
0.00213152,1
0.0021542,1
0.00217687,1
0.00219955,1
0.00222222,1
0.0022449,1
0.00226757,1
0.00229025,1
0.00231293,1
0.0023356,1
0.00235828,1
0.00238095,1
0.00240363,1
0.0024263,1
0.00244898,1
0.00247166,1
0.00249433,1
0.00251701,1
0.00253968,1
0.00256236,1
0.00258503,1
0.00260771,1
0.00263039,1
0.00265306,1
0.00267574,1
0.00269841,1
0.00272109,1
0.00274376,1
0.00276644,1
0.00278912,1
0.00281179,1
0.00283447,1
0.00285714,1
0.00287982,1
0.00290249,1
0.00292517,1
0.00294785,1
0.00297052,1
0.0029932,1
0.00301587,1
0.00303855,1
0.00306122,1
0.0030839,1
0.00310658,1
0.00312925,1
0.00315193,1
0.0031746,1
0.00319728,1
0.00321995,1
0.00324263,1
0.00326531,1
0.00328798,1
0.00331066,1
0.00333333,1
0.00335601,1
0.00337868,1
0.00340136,1
0.00342404,1
0.00344671,1
0.00346939,1
0.00349206,1
0.00351474,1
0.00353741,1
0.00356009,1
0.00358277,1
0.00360544,1
0.00362812,1
0.00365079,1
0.00367347,1
0.00369615,1
0.00371882,1
0.0037415,1
0.00376417,1
0.00378685,1
0.00380952,1
0.0038322,1
0.00385488,1
0.00387755,1
0.00390023,1
0.0039229,1
0.00394558,1
0.00396825,1
0.00399093,1
0.00401361,1
0.00403628,1
0.00405896,1
0.00408163,1
0.00410431,1
0.00412698,1
0.00414966,1
0.00417234,1
0.00419501,1
0.00421769,1
0.00424036,1
0.00426304,1
0.00428571,1
0.00430839,1
0.00433107,1
0.00435374,1
0.00437642,1
0.00439909,1
0.00442177,1
0.00444444,1
0.00446712,1
0.0044898,1
0.00451247,1
0.00453515,1
0.00455782,1
0.0045805,1
0.00460317,1
0.00462585,1
0.00464853,1
0.0046712,1
0.00469388,1
0.00471655,1
0.00473923,1
0.0047619,1
0.00478458,1
0.00480726,1
0.00482993,1
0.00485261,1
0.00487528,1
0.00489796,1
0.00492063,1
0.00494331,1
0.00496599,1
0.00498866,1
0.00501134,1
0.00503401,1
0.00505669,1
0.00507937,1
0.00510204,1
0.00512472,1
0.00514739,1
0.00517007,1
0.00519274,1
0.00521542,1
0.0052381,1
0.00526077,1
0.00528345,1
0.00530612,1
0.0053288,1
0.00535147,1
0.00537415,1
0.00539683,1
0.0054195,1
0.00544218,1
0.00546485,1
0.00548753,1
0.0055102,1
0.00553288,1
0.00555556,1
0.00557823,1
0.00560091,1
0.00562358,1
0.00564626,1
0.00566893,1
0.00569161,1
0.00571429,1
0.00573696,1
0.00575964,1
0.00578231,1
0.00580499,1
0.00582766,1
0.00585034,1
0.00587302,1
0.00589569,1
0.00591837,1
0.00594104,1
0.00596372,1
0.00598639,1
0.00600907,1
0.00603175,1
0.00605442,1
0.0060771,1
0.00609977,1
0.00612245,1
0.00614512,1
0.0061678,1
0.00619048,1
0.00621315,1
0.00623583,1
0.0062585,1
0.00628118,1
0.00630385,1
0.00632653,1
0.00634921,1
0.00637188,1
0.00639456,1
0.00641723,1
0.00643991,1
0.00646259,1
0.00648526,1
0.00650794,1
0.00653061,1
0.00655329,1
0.00657596,1
0.00659864,1
0.00662132,1
0.00664399,1
0.00666667,1
0.00668934,1
0.00671202,1
0.00673469,1
0.00675737,1
0.00678005,1
0.00680272,1
0.0068254,1
0.00684807,1
0.00687075,1
0.00689342,1
0.0069161,1
0.00693878,1
0.00696145,1
0.00698413,1
0.0070068,1
0.00702948,1
0.00705215,1
0.00707483,1
0.00709751,1
0.00712018,1
0.00714286,1
0.00716553,1
0.00718821,1
0.00721088,1
0.00723356,1
0.00725624,1
0.00727891,1
0.00730159,1
0.00732426,1
0.00734694,1
0.00736961,1
0.00739229,1
0.00741497,1
0.00743764,1
0.00746032,1
0.00748299,1
0.00750567,1
0.00752834,1
0.00755102,1
0.0075737,1
0.00759637,1
0.00761905,1
0.00764172,1
0.0076644,1
0.00768707,1
0.00770975,1
0.00773243,1
0.0077551,1
0.00777778,1
0.00780045,1
0.00782313,1
0.0078458,1
0.00786848,1
0.00789116,1
0.00791383,1
0.00793651,1
0.00795918,1
0.00798186,1
0.00800454,1
0.00802721,1
0.00804989,1
0.00807256,1
0.00809524,1
0.00811791,1
0.00814059,1
0.00816327,1
0.00818594,1
0.00820862,1
0.00823129,1
0.00825397,1
0.00827664,1
0.00829932,1
0.008322,1
0.00834467,1
0.00836735,1
0.00839002,1
0.0084127,1
0.00843537,1
0.00845805,1
0.00848073,1
0.0085034,1
0.00852608,1
0.00854875,1
0.00857143,1
0.0085941,1
0.00861678,1
0.00863946,1
0.00866213,1
0.00868481,1
0.00870748,1
0.00873016,1
0.00875283,1
0.00877551,1
0.00879819,1
0.00882086,1
0.00884354,1
0.00886621,1
0.00888889,1
0.00891156,1
0.00893424,1
0.00895692,1
0.00897959,1
0.00900227,1
0.00902494,1
0.00904762,1
0.00907029,1
0.00909297,1
0.00911565,1
0.00913832,1
0.009161,1
0.00918367,1
0.00920635,1
0.00922902,1
0.0092517,1
0.00927438,1
0.00929705,1
0.00931973,1
0.0093424,1
0.00936508,1
0.00938776,1
0.00941043,1
0.00943311,1
0.00945578,1
0.00947846,1
0.00950113,1
0.00952381,1
0.00954649,1
0.00956916,1
0.00959184,1
0.00961451,1
0.00963719,1
0.00965986,1
0.00968254,1
0.00970522,1
0.00972789,1
0.00975057,1
0.00977324,1
0.00979592,1
0.00981859,1
0.00984127,1
0.00986395,1
0.00988662,1
0.0099093,1
0.00993197,1
0.00995465,1
0.00997732,1
0.01,1
0.0100227,1
0.0100454,1
0.010068,1
0.0100907,1
0.0101134,1
0.0101361,1
0.0101587,1
0.0101814,1
0.0102041,1
0.0102268,1
0.0102494,1
0.0102721,1
0.0102948,1
0.0103175,1
0.0103401,1
0.0103628,1
0.0103855,1
0.0104082,1
0.0104308,1
0.0104535,1
0.0104762,1
0.0104989,1
0.0105215,1
0.0105442,1
0.0105669,1
0.0105896,1
0.0106122,1
0.0106349,1
0.0106576,1
0.0106803,1
0.0107029,1
0.0107256,1
0.0107483,1
0.010771,1
0.0107937,1
0.0108163,1
0.010839,1
0.0108617,1
0.0108844,1
0.010907,1
0.0109297,1
0.0109524,1
0.0109751,1
0.0109977,1
0.0110204,1
0.0110431,1
0.0110658,1
0.0110884,1
0.0111111,1
0.0111338,1
0.0111565,1
0.0111791,1
0.0112018,1
0.0112245,1
0.0112472,1
0.0112698,1
0.0112925,1
0.0113152,1
0.0113379,1
0.0113605,1
0.0113832,1
0.0114059,1
0.0114286,1
0.0114512,1
0.0114739,1
0.0114966,1
0.0115193,1
0.011542,1
0.0115646,1
0.0115873,1
0.01161,1
0.0116327,1
0.0116553,1
0.011678,1
